"Part name","link","price"
"Key Switches x4 packs","https://www.amazon.eg/-/en/gp/product/B09QGQVQYD/ref=ox_sc_act_title_2?smid=A1ZVRGNO5AYLOV&psc=1","$43.83"
"keycaps","https://www.amazon.eg/-/en/Redragon-A101-Double-Shot-mechanical-keyboard/dp/B019OAQ6VI/ref=sr_1_3?crid=1EDSB6B359962&dib=eyJ2IjoiMSJ9.wD7VG1MxwQYx9D6YZqPVxtJ1dFIRSeLMF1gmMGVc2lEYu6347Eqi5hz-yUdAzJEr2D08Qv5ngxRmC2Et3NeRO3K2PAWTfF5ZD7dNvIEBvW3J1swA5LjqBNs8g4VxE9ZDNfC-B1ejkWkmNnq1BzCwhzCFhgQ6T9OL5aTMCvT84dIu3x3KgPLGUDi6wlub9ozFmAsrms-6uFClVkwS0dtkmJ68mgQ7EsXc4K9x9jGzLsAx8HFuH43_fH5Em_Ksyy7WvJcEOgssqWDP3yWDiAt0Dzbg7hDAQYc_JxO5Egab-UY.QSRC6Wm2rXR7-xzCP1SevjA28SaDu6sTpjRap5sIYkk&dib_tag=se&keywords=keycaps&qid=1753464766&sprefix=keycaps%2Caps%2C178&sr=8-3&th=1","$7.72"
"Zener Diode BZX79-C5V1 (6.2 Volt)","https://mostelectronic.com/shop/components/diodes/zener-diode-bzx79-c5v1-6-2-volt/","$0.92"
"Solder Wire Singapore 25g (0.6mm -70/30) Singapore","https://mostelectronic.com/shop/tools/soldering-desoldering/solder-wire-singapore-25g-0-6mm-70-30-singapore/","$1.53"
"Soldering Iron Station Tips 5pcs","https://mostelectronic.com/shop/tools/soldering-desoldering/soldering-iron-station-tips-5pcs/","$1.32"
"Joker Soldering Paste Flux for Multi-Purpose 50g","https://mostelectronic.com/shop/tools/soldering-desoldering/joker-soldering-paste-flux-for-multi-purpose-50g/","$1.22"
"OLED LCD LED Display Module White (128X64) 0.96 inch)","https://mostelectronic.com/shop/displays-lcd-7-seg-led/lcd-modules-displays-lcd-7-seg-led/0-96%e2%80%b3-oled-4pin-lcd-led-display-module-i2c-iic-communicate-white-128x64/","$6.25"
"Rotary encoder","https://mostelectronic.com/shop/sensors/ec11-rotary-encoder-with-push-button-switch-5pin-15mm/","$0.5"
"Raspberry pi pico","https://mostelectronic.com/shop/arduino-development-boards/raspberry-pi/raspberry-pi-pico/","$10"
"Shift register","https://www.ram-e-shop.com/shop/74hc165-ic-74165-8-bit-parallel-in-serial-out-shift-register-6231","$0.31"
"Stablizers","https://ar.aliexpress.com/item/1005006010710197.html?spm=a2g0o.detail.0.0.4d5eEAvcEAvc9M&mp=1&pdp_npi=5%40dis%21EGP%21EGP%20216.83%21EGP%20156.33%21%21EGP%20156.33%21%21%21%40211b612517541365946707689e723f%2112000035308329351%21ct%21EG%216183184762%21%211%210&_gl=1*1g7x0u9*_gcl_au*MTUwOTc4NjE0NS4xNzUzNTMxNTg1*_ga*MTYxOTA1Mjc0Mi4xNzUzNTMxNTg2*_ga_VED1YSGNC7*czE3NTQxMzY1OTYkbzYkZzAkdDE3NTQxMzY1OTYkajYwJGwwJGgw&gatewayAdapt=glo2ara","$4"
"Total JLCPCb with shipping","","$30"
"shipping for most electronics","","$3.06"
"shipping for amazon eg","","$2"
"3D Printed case","","$36.10"
"Total","","$144.1"
